passage	treat	selected	log_ch4	offspring
1	n	-1.9202512074363796	-1.5805153683034228	-1.5805153683034228
1	n	-1.9202512074363796	-1.4380782403496923	-1.4380782403496923
1	n	-1.9202512074363796	-1.3897210290121698	-1.3897210290121698
1	n	-1.9202512074363796	-1.362894888590182	-1.362894888590182
1	n	-1.9202512074363796	-1.3507334991026827	-1.3507334991026827
1	n	-1.9202512074363796	-1.2488089828958453	-1.2488089828958453
1	n	-1.9202512074363796	-1.207016842821064	-1.207016842821064
1	n	-1.9202512074363796	-1.1848469271564546	-1.1848469271564546
1	n	-1.9202512074363796	-1.1147756822235868	-1.1147756822235868
1	n	-1.9202512074363796	-1.058400598632296	-1.058400598632296
1	n	-1.9202512074363796	-0.8155082123059251	-0.8155082123059251
1	n	-1.9202512074363796	-0.4710045050694557	-0.4710045050694557
1	p	-1.2702602434264247	-1.5134548967249108	-1.5134548967249108
1	p	-1.2702602434264247	-1.49737640944782	-1.49737640944782
1	p	-1.2702602434264247	-1.4947484452044124	-1.4947484452044124
1	p	-1.2702602434264247	-1.4720986010367612	-1.4720986010367612
1	p	-1.2702602434264247	-1.440994455496456	-1.440994455496456
1	p	-1.2702602434264247	-1.440304269779702	-1.440304269779702
1	p	-1.2702602434264247	-1.427826698549953	-1.427826698549953
1	p	-1.2702602434264247	-1.384612151774226	-1.384612151774226
1	p	-1.2702602434264247	-1.2486606536004246	-1.2486606536004246
1	p	-1.2702602434264247	-0.48204071946809435	-0.48204071946809435
2	n	-1.3428789986492962	-1.9661623154100707	-1.9661623154100707
2	n	-1.3428789986492962	-1.8669306007934143	-1.8669306007934143
2	n	-1.3428789986492962	-1.8017596256892616	-1.8017596256892616
2	n	-1.3428789986492962	-1.7968844667757384	-1.7968844667757384
2	n	-1.3428789986492962	-1.6642454275135168	-1.6642454275135168
2	n	-1.3428789986492962	-1.612513010264553	-1.612513010264553
2	n	-1.3428789986492962	-1.589587901644655	-1.589587901644655
2	n	-1.3428789986492962	-1.4830467298046968	-1.4830467298046968
2	n	-1.3428789986492962	-1.4603379360937163	-1.4603379360937163
2	n	-1.3428789986492962	-1.3085716464014374	-1.3085716464014374
2	n	-1.3428789986492962	-1.245979142592972	-1.245979142592972
2	n	-1.3428789986492962	-1.05149530446029	-1.05149530446029
2	p	-1.5018599171257143	-2.0435989696179258	-2.0435989696179258
2	p	-1.5018599171257143	-1.8569901082659517	-1.8569901082659517
2	p	-1.5018599171257143	-1.8062483486207617	-1.8062483486207617
2	p	-1.5018599171257143	-1.7996461744578132	-1.7996461744578132
2	p	-1.5018599171257143	-1.7895356837139456	-1.7895356837139456
2	p	-1.5018599171257143	-1.776913885768311	-1.776913885768311
2	p	-1.5018599171257143	-1.7216076425221554	-1.7216076425221554
2	p	-1.5018599171257143	-1.607302617885934	-1.607302617885934
